 schemaname |                     tablename                     |                            indexname                            | tablespace |                                                                                 indexdef                                                                                  
 pg_catalog | pg_shdepend                                       | pg_shdepend_depender_index                                      | pg_global  | CREATE INDEX pg_shdepend_depender_index ON pg_shdepend USING btree (dbid, classid, objid, objsubid)
 pg_catalog | pg_shdepend                                       | pg_shdepend_reference_index                                     | pg_global  | CREATE INDEX pg_shdepend_reference_index ON pg_shdepend USING btree (refclassid, refobjid)
 pg_catalog | pg_statistic                                      | pg_statistic_relid_att_index                                    |            | CREATE UNIQUE INDEX pg_statistic_relid_att_index ON pg_statistic USING btree (starelid, staattnum)
 pg_catalog | pg_tablespace                                     | pg_tablespace_oid_index                                         | pg_global  | CREATE UNIQUE INDEX pg_tablespace_oid_index ON pg_tablespace USING btree (oid)
 pg_catalog | pg_tablespace                                     | pg_tablespace_spcname_index                                     | pg_global  | CREATE UNIQUE INDEX pg_tablespace_spcname_index ON pg_tablespace USING btree (spcname)
 pg_catalog | pg_trigger                                        | pg_trigger_tgconstrname_index                                   |            | CREATE INDEX pg_trigger_tgconstrname_index ON pg_trigger USING btree (tgconstrname)
 pg_catalog | pg_trigger                                        | pg_trigger_tgrelid_tgname_index                                 |            | CREATE UNIQUE INDEX pg_trigger_tgrelid_tgname_index ON pg_trigger USING btree (tgrelid, tgname)
 pg_catalog | pg_trigger                                        | pg_trigger_oid_index                                            |            | CREATE UNIQUE INDEX pg_trigger_oid_index ON pg_trigger USING btree (oid)
 pg_catalog | pg_ts_config                                      | pg_ts_config_cfgname_index                                      |            | CREATE UNIQUE INDEX pg_ts_config_cfgname_index ON pg_ts_config USING btree (cfgname, cfgnamespace)
 pg_catalog | pg_ts_config                                      | pg_ts_config_oid_index                                          |            | CREATE UNIQUE INDEX pg_ts_config_oid_index ON pg_ts_config USING btree (oid)
 pg_catalog | pg_ts_config_map                                  | pg_ts_config_map_index                                          |            | CREATE UNIQUE INDEX pg_ts_config_map_index ON pg_ts_config_map USING btree (mapcfg, maptokentype, mapseqno)
 pg_catalog | pg_ts_dict                                        | pg_ts_dict_dictname_index                                       |            | CREATE UNIQUE INDEX pg_ts_dict_dictname_index ON pg_ts_dict USING btree (dictname, dictnamespace)
 pg_catalog | pg_ts_dict                                        | pg_ts_dict_oid_index                                            |            | CREATE UNIQUE INDEX pg_ts_dict_oid_index ON pg_ts_dict USING btree (oid)
 pg_catalog | pg_ts_parser                                      | pg_ts_parser_prsname_index                                      |            | CREATE UNIQUE INDEX pg_ts_parser_prsname_index ON pg_ts_parser USING btree (prsname, prsnamespace)
 pg_catalog | pg_ts_parser                                      | pg_ts_parser_oid_index                                          |            | CREATE UNIQUE INDEX pg_ts_parser_oid_index ON pg_ts_parser USING btree (oid)
 pg_catalog | pg_ts_template                                    | pg_ts_template_tmplname_index                                   |            | CREATE UNIQUE INDEX pg_ts_template_tmplname_index ON pg_ts_template USING btree (tmplname, tmplnamespace)
 pg_catalog | pg_ts_template                                    | pg_ts_template_oid_index                                        |            | CREATE UNIQUE INDEX pg_ts_template_oid_index ON pg_ts_template USING btree (oid)
 pg_catalog | pg_type                                           | pg_type_oid_index                                               |            | CREATE UNIQUE INDEX pg_type_oid_index ON pg_type USING btree (oid)
 pg_catalog | pg_type                                           | pg_type_typname_nsp_index                                       |            | CREATE UNIQUE INDEX pg_type_typname_nsp_index ON pg_type USING btree (typname, typnamespace)
 pg_catalog | pg_foreign_data_wrapper                           | pg_foreign_data_wrapper_oid_index                               |            | CREATE UNIQUE INDEX pg_foreign_data_wrapper_oid_index ON pg_foreign_data_wrapper USING btree (oid)
 pg_catalog | pg_foreign_data_wrapper                           | pg_foreign_data_wrapper_name_index                              |            | CREATE UNIQUE INDEX pg_foreign_data_wrapper_name_index ON pg_foreign_data_wrapper USING btree (fdwname)
 pg_catalog | pg_foreign_server                                 | pg_foreign_server_oid_index                                     |            | CREATE UNIQUE INDEX pg_foreign_server_oid_index ON pg_foreign_server USING btree (oid)
 pg_catalog | pg_foreign_server                                 | pg_foreign_server_name_index                                    |            | CREATE UNIQUE INDEX pg_foreign_server_name_index ON pg_foreign_server USING btree (srvname)
 pg_catalog | pg_user_mapping                                   | pg_user_mapping_oid_index                                       |            | CREATE UNIQUE INDEX pg_user_mapping_oid_index ON pg_user_mapping USING btree (oid)
 pg_catalog | pg_user_mapping                                   | pg_user_mapping_user_server_index                               |            | CREATE UNIQUE INDEX pg_user_mapping_user_server_index ON pg_user_mapping USING btree (umuser, umserver)
 public     | south_migrationhistory                            | south_migrationhistory_pkey                                     |            | CREATE UNIQUE INDEX south_migrationhistory_pkey ON south_migrationhistory USING btree (id)
 public     | auth_permission                                   | auth_permission_pkey                                            |            | CREATE UNIQUE INDEX auth_permission_pkey ON auth_permission USING btree (id)
 public     | auth_permission                                   | auth_permission_content_type_id_key                             |            | CREATE UNIQUE INDEX auth_permission_content_type_id_key ON auth_permission USING btree (content_type_id, codename)
 public     | auth_group_permissions                            | auth_group_permissions_pkey                                     |            | CREATE UNIQUE INDEX auth_group_permissions_pkey ON auth_group_permissions USING btree (id)
 public     | auth_group_permissions                            | auth_group_permissions_group_id_key                             |            | CREATE UNIQUE INDEX auth_group_permissions_group_id_key ON auth_group_permissions USING btree (group_id, permission_id)
 public     | reminder_newsletter                               | reminder_newsletter_date_key                                    |            | CREATE UNIQUE INDEX reminder_newsletter_date_key ON reminder_newsletter USING btree (date)
 public     | auth_group                                        | auth_group_pkey                                                 |            | CREATE UNIQUE INDEX auth_group_pkey ON auth_group USING btree (id)
 public     | auth_group                                        | auth_group_name_key                                             |            | CREATE UNIQUE INDEX auth_group_name_key ON auth_group USING btree (name)
 public     | auth_user_user_permissions                        | auth_user_user_permissions_pkey                                 |            | CREATE UNIQUE INDEX auth_user_user_permissions_pkey ON auth_user_user_permissions USING btree (id)
 public     | auth_user_user_permissions                        | auth_user_user_permissions_user_id_key                          |            | CREATE UNIQUE INDEX auth_user_user_permissions_user_id_key ON auth_user_user_permissions USING btree (user_id, permission_id)
 public     | cms_page                                          | cms_page_publisher_public_id_key                                |            | CREATE UNIQUE INDEX cms_page_publisher_public_id_key ON cms_page USING btree (publisher_public_id)
 public     | auth_user_groups                                  | auth_user_groups_pkey                                           |            | CREATE UNIQUE INDEX auth_user_groups_pkey ON auth_user_groups USING btree (id)
 public     | auth_user_groups                                  | auth_user_groups_user_id_key                                    |            | CREATE UNIQUE INDEX auth_user_groups_user_id_key ON auth_user_groups USING btree (user_id, group_id)
 public     | cms_page                                          | cms_page_publisher_is_draft                                     |            | CREATE INDEX cms_page_publisher_is_draft ON cms_page USING btree (publisher_is_draft)
 public     | pollster_results_intake_v0_2011110816121320765156 | pollster_results_intake_pkey                                    |            | CREATE UNIQUE INDEX pollster_results_intake_pkey ON pollster_results_intake_v0_2011110816121320765156 USING btree (id)
 public     | auth_user                                         | auth_user_pkey                                                  |            | CREATE UNIQUE INDEX auth_user_pkey ON auth_user USING btree (id)
 public     | auth_user                                         | auth_user_username_key                                          |            | CREATE UNIQUE INDEX auth_user_username_key ON auth_user USING btree (username)
 public     | cms_page                                          | cms_page_publisher_state                                        |            | CREATE INDEX cms_page_publisher_state ON cms_page USING btree (publisher_state)
 public     | auth_message                                      | auth_message_pkey                                               |            | CREATE UNIQUE INDEX auth_message_pkey ON auth_message USING btree (id)
 public     | django_content_type                               | django_content_type_pkey                                        |            | CREATE UNIQUE INDEX django_content_type_pkey ON django_content_type USING btree (id)
 public     | django_content_type                               | django_content_type_app_label_key                               |            | CREATE UNIQUE INDEX django_content_type_app_label_key ON django_content_type USING btree (app_label, model)
 public     | django_session                                    | django_session_pkey                                             |            | CREATE UNIQUE INDEX django_session_pkey ON django_session USING btree (session_key)
 public     | django_site                                       | django_site_pkey                                                |            | CREATE UNIQUE INDEX django_site_pkey ON django_site USING btree (id)
 public     | django_admin_log                                  | django_admin_log_pkey                                           |            | CREATE UNIQUE INDEX django_admin_log_pkey ON django_admin_log USING btree (id)
 public     | cms_page_placeholders                             | cms_page_placeholders_pkey                                      |            | CREATE UNIQUE INDEX cms_page_placeholders_pkey ON cms_page_placeholders USING btree (id)
 public     | cms_page_placeholders                             | cms_page_placeholders_page_id_598353cf6a0df834_uniq             |            | CREATE UNIQUE INDEX cms_page_placeholders_page_id_598353cf6a0df834_uniq ON cms_page_placeholders USING btree (page_id, placeholder_id)
